filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000000147787.jpg,58461,"{""width"":640,""height"":426}",3,1,"{""name"":""polygon"",""all_points_x"":[298.89,307.48,310.05,310.05,305.76,304.9,305.76,305.76,299.75,298.03,294.59,294.59,294.59,286,280.85,293.73,304.9,310.91,317.78,320.36,327.23,333.24,346.98,350.42,359.01,374.47,377.9,378.76,381.34,384.77,389.07,395.08,399.38,406.25,409.68,411.4,410.54,412.26,415.69,417.41,419.13,421.71,426,422.56,422.56,422.56,421.71,419.13,418.27,418.27,416.55,419.13,422.56,425.14,427.72,430.29,432.87,432.87,435.45,437.17,438.02,438.88,441.46,442.32,443.18,444.9,445.75,443.18,442.32,441.46,436.31,294.59,295.45,298.89],""all_points_y"":[401.09,382.2,373.61,362.44,348.7,334.96,322.94,316.06,298.89,288.58,274.84,264.53,250.79,237.05,215.58,209.56,213,216.44,218.15,219.01,219.87,219.87,202.69,196.68,196.68,209.56,219.01,226.74,235.33,243.06,247.35,249.93,252.51,259.38,261.96,270.54,278.27,284.29,289.44,293.73,296.31,298.03,304.9,314.35,322.08,329.81,336.68,345.27,351.28,360.73,365.02,371.03,371.89,374.47,376.19,378.76,384.77,386.49,391.65,395.08,396.8,398.52,402.81,404.53,407.1,408.82,412.26,419.99,420.85,420.85,420.85,421.71,411.4,404.53]}","{""category"":""dog""}"
000000147787.jpg,58461,"{""width"":640,""height"":426}",3,2,"{""name"":""polygon"",""all_points_x"":[356.67,364.88,367.62,374.92,391.34,408.67,415.97,421.44,440.6,446.07,426.91,420.53,419.61,435.12,446.07,446.98,446.07,446.07,636.72,635.81,590.2,559.18,548.24,523.61,506.27,483.47,478.91,472.52,470.7,467.96,446.98,436.95,421.44,422.35,430.56,430.56,409.58,400.46,394.99,375.83,358.5,356.67],""all_points_y"":[184.44,193.56,200.86,207.24,211.8,215.45,221.84,240.99,262.89,272.92,310.32,334.95,366.88,377.82,391.51,404.28,417.05,426,426,312.15,289.34,261.06,249.2,231.87,203.59,175.31,157.07,140.65,123.32,120.58,134.27,117.85,113.28,123.32,133.35,145.21,149.77,157.07,168.02,174.4,177.14,184.44]}","{""category"":""dog""}"
000000197097.jpg,101722,"{""width"":640,""height"":480}",1,0,"{""name"":""polygon"",""all_points_x"":[435.47,427.06,423.7,415.71,401.41,389.22,384.6,381.66,379.13,375.35,373.67,367.36,360.22,356.85,355.59,352.65,348.03,347.18,340.04,332.89,324.06,321.12,324.9,333.31,333.31,332.47,329.95,326.59,323.22,320.7,317.76,314.39,308.09,306.41,305.57,305.99,307.67,313.97,318.18,319.02,321.12,323.64,324.9,327.43,330.37,334.15,340.46,343.82,344.66,343.4,341.72,340.46,340.88,344.66,350.55,355.17,362.74,371.15,380.82,390.91,398.89,401.41,400.57,400.57,403.1,404.36,409.4,412.77,414.87,421.17,423.27,426.22,427.48,426.22,424.96,427.48,431.68,434.21,436.31,435.05,435.47,435.89,443.03,454.38,470.78,469.94,468.68,467,463.21,459.01,453.54,448.5,440.93],""all_points_y"":[231,233.52,233.52,233.52,230.58,226.38,222.59,220.91,220.91,223.44,226.8,226.8,226.8,226.8,226.8,221.75,218.81,221.75,225.54,229.32,236.47,238.99,246.14,260.01,263.79,271.36,278.93,285.65,293.64,299.95,309.19,318.44,326.85,332.32,336.1,341.98,345.77,345.77,345.77,343.67,338.2,331.05,323.91,317.18,313.4,312.14,315.08,319.28,323.49,326.85,329.79,334.42,338.62,343.25,342.4,338.62,332.74,325.17,320.54,317.18,314.66,310.03,304.15,300.37,298.68,297.84,296.16,297,298.68,299.53,299.53,298.26,295.74,293.22,291.12,290.28,286.49,279.77,266.31,263.79,262.53,260.85,264.21,268.84,268.84,264.21,257.07,248.66,239.83,235.21,232.26,229.32,229.32]}","{""category"":""dog""}"
000000058001.jpg,96590,"{""width"":640,""height"":425}",1,0,"{""name"":""polygon"",""all_points_x"":[154.55,166.57,178.59,193.18,202.63,223.23,235.25,263.59,283.33,311.67,327.12,340,356.31,376.06,418.13,449.04,462.78,471.36,448.18,425.86,437.88,455.05,465.35,480.81,496.26,497.98,508.28,529.75,512.58,516.87,535.76,542.63,516.01,510.86,506.57,508.28,541.77,563.23,593.28,607.88,608.74,580.4,587.27,600.15,607.88,585.56,574.39,516.87,447.32,368.33,335.71,196.62,138.23,131.36,118.48,111.62,94.44,66.97,56.67,54.09,60.1,59.24,51.52,54.09,64.39,72.12,94.44,95.3,145.96,139.09,137.37,140.81,174.29],""all_points_y"":[325.4,325.4,318.54,306.52,298.79,297.07,287.63,284.19,280.76,268.74,267.02,250.71,248.13,240.4,239.55,260.15,273.03,284.19,307.37,334.85,342.58,348.59,335.71,330.56,314.24,304.8,289.34,272.17,251.57,238.69,247.27,255,294.49,303.94,312.53,316.82,328.84,304.8,283.33,261.01,247.27,217.22,197.47,185.45,163.13,122.78,78.99,48.94,31.77,26.62,31.77,33.48,42.07,43.79,46.36,20.61,10.3,19.75,35.2,55.81,74.7,94.44,114.19,152.83,175.15,213.79,236.11,273.03,296.21,302.22,308.23,326.26,326.26]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,0,"{""name"":""polygon"",""all_points_x"":[377.9,381.04,381.57,382.09,384.71,386.28,392.57,407.76,424,428.19,425.57,426.62,426.62,426.62,426.62,427.67,433.43,435.52,435.52,437.62,438.14,439.72,443.91,449.14,450.72,450.72,450.72,449.67,449.14,448.62,448.1,441.29,439.19,438.67,437.62,435,434.48,431.86,424.52,422.95,422.43,408.28,408.28,408.28,408.28,408.28,408.28,409.85,409.85,415.09,416.67,425.57,428.19,431.33,431.33,431.33,431.86,431.86,431.33,430.81,429.24,429.24,431.86,430.29,428.71,425.57,419.81,419.28,419.28,417.19,416.14,416.14,415.62,413.52,411.43,411.43,410.38,406.71,406.71,406.71,406.71,406.71,405.66,405.66,406.19,406.19,405.14,404.09,405.14,404.62,402.52,402.52,402.52,401.47,399.9,399.9,398.85,398.85,397.28,395.71,395.19,394.66,393.62,389.95,386.8,392.57,393.09,395.19,396.76,396.76,397.81,397.81,397.81,397.81,397.28,397.28,395.71,395.19,394.14,393.62,393.09,393.09,392.04,392.04,391.52,391.52,389.95,388.9,388.9,388.38,386.8,386.8,385.76,384.71,384.71,380.52,380.52,374.23,374.23,374.76,374.76,374.76,374.76,373.71,373.71,373.18,373.18,373.18,370.04,370.56,370.56,370.56,370.56,370.04,370.56,370.56,370.56,370.04,367.95,366.9,366.9,366.9,380.52,380.52],""all_points_y"":[206.89,206.89,206.36,204.79,202.69,202.17,199.55,193.79,183.31,184.88,183.31,181.22,181.22,177.03,175.98,171.26,172.83,181.22,181.22,184.88,184.88,186.45,191.69,206.36,211.08,217.89,224.7,227.32,227.84,231.51,233.08,226.27,227.32,227.32,227.32,226.79,226.79,226.79,229.41,229.94,231.51,236.22,236.22,237.79,238.84,239.89,240.94,242.51,242.51,245.13,244.6,245.65,248.27,252.46,254.03,254.03,255.61,262.42,268.7,269.23,273.42,273.42,278.13,285.47,285.47,285.47,268.7,256.65,254.03,252.99,251.41,251.41,251.41,249.84,246.18,246.18,245.13,242.51,242.51,242.51,242.51,242.51,247.75,247.75,249.84,252.46,255.61,262.94,263.99,266.61,271.85,271.85,274.99,277.61,279.18,279.18,281.8,281.8,285.99,288.61,289.66,289.66,289.66,290.18,288.61,279.7,278.13,266.61,258.75,258.22,254.56,253.51,250.37,250.37,244.6,243.56,241.98,241.98,238.84,237.79,236.75,236.75,235.7,235.7,235.7,235.7,236.75,239.37,239.89,240.94,243.03,243.56,241.98,243.03,244.08,248.27,252.46,254.56,247.75,244.6,244.6,243.03,243.03,242.51,241.98,241.98,241.98,241.98,242.51,241.46,241.46,235.7,235.7,234.65,234.13,234.13,233.08,230.98,231.51,215.79,213.7,211.6,204.79,204.79]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,1,"{""name"":""polygon"",""all_points_x"":[139.21,159.09,172.06,183.31,204.92,256.8,271.5,278.42,273.23,281.87,282.74,283.6,281.87,273.23,264.58,252.48,250.75,252.48,267.18,279.28,291.39,291.39,287.93,284.47,281.01,288.79,288.79,286.2,282.74,278.42,281.87,287.06,287.93,277.55,266.31,264.58,272.36,264.58,255.07,254.21,246.42,238.64,230.86,224.81,226.54,228.27,229.13,220.48,216.16,216.16,222.21,223.94,213.57,204.06,201.46,194.55,191.95,184.17,191.95,191.95,183.31,171.2,159.96,153.91,146.13,140.94,137.48,137.48],""all_points_y"":[208.38,192.82,189.36,190.22,203.19,186.76,188.49,190.22,185.03,178.98,173.79,163.42,155.64,154.77,156.5,162.55,164.28,159.09,153.91,152.18,166.88,179.85,186.76,191.95,193.68,211.84,216.16,221.35,227.4,235.18,245.56,253.34,259.39,274.09,276.69,274.96,265.45,248.15,236.91,223.08,235.18,243.83,263.72,270.63,277.55,281.01,283.6,283.6,283.6,273.23,255.07,249.02,248.15,250.75,266.31,287.93,292.25,286.2,268.91,249.88,230.86,225.67,221.35,219.62,220.48,216.16,210.97,207.52]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,2,"{""name"":""polygon"",""all_points_x"":[62.33,49.64,47.1,43.93,43.3,43.3,55.35,70.58,80.09,85.8,87.7,83.26,83.26,93.41,102.93,110.54,114.35,114.98,113.72,109.27,108.64,114.35,113.08,115.62,117.52,114.35,111.18,111.81,111.81,106.1,104.2,102.93,103.56,95.95,91.51,83.26,78.82,80.09,75.65,70.58,68.67,64.87,61.06],""all_points_y"":[265.08,259.37,260.64,253.66,242.88,231.46,218.77,211.79,204.18,197.2,190.86,183.88,180.7,180.7,177.53,178.8,183.24,195.93,202.91,206.72,209.25,218.77,229.55,234.63,236.53,239.07,239.07,244.78,247.95,250.49,249.22,246.68,239.7,247.95,252.39,255.56,256.2,267.62,273.96,273.96,270.79,266.98,262.54]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,3,"{""name"":""polygon"",""all_points_x"":[431.67,441.75,450.91,447.25,452.75,457.33,480.24,484.82,481.16,490.32,495.82,493.99,501.32,502.24,504.07,494.9,467.41,452.75,439,414.25,405.09,406.92,428.92,437.16,439,440.83],""all_points_y"":[290.28,269.2,269.2,291.19,291.19,271.95,257.28,274.7,282.94,283.86,271.03,261.87,251.78,238.95,230.71,232.54,232.54,236.2,225.21,233.45,239.87,244.45,245.37,260.03,268.28,266.45]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,4,"{""name"":""polygon"",""all_points_x"":[502.95,511.43,518.89,526.7,530.77,536.19,544.34,551.8,552.48,552.14,553.5,559.6,565.03,564.69,562.32,556.89,556.21,552.82,550.44,549.76,550.78,552.14,552.14,550.78,550.78,547.73,544,541.62,545.69,547.39,548.75,546.03,541.28,542.3,541.28,538.91,538.91,537.89,535.52,533.48,536.87,537.89,537.55,536.19,533.82,530.43,528.73,528.05,527.71,527.37,530.77,532.8,533.14,532.8,529.75,526.36,523.3,523.98,524.66,525,520.25,518.89,517.88,513.46,511.09,509.05,507.7,506,505.66,503.63,498.2,496.5,495.49,489.38,490.74,497.52,502.95],""all_points_y"":[150.27,150.95,155.7,159.09,159.43,155.36,151.29,150.27,163.84,169.95,174.36,175.04,175.04,183.86,201.5,216.76,234.4,236.44,237.12,232.71,222.19,212.35,201.5,196.07,193.02,196.75,208.96,210.66,223.21,232.71,238.81,241.19,240.85,238.14,233.39,221.51,216.76,216.76,227.96,231.01,236.78,241.53,245.6,247.63,247.63,246.28,242.21,238.14,233.39,224.57,216.76,214.05,209.3,205.57,205.91,207.94,208.62,221.17,228.98,248.65,246.96,242.55,223.21,215.41,205.57,198.78,192.68,188.61,186.91,186.91,187.59,183.86,181.82,167.57,158.41,150.95,150.61]}","{""category"":""dog""}"
000000431092.jpg,172382,"{""width"":640,""height"":428}",6,5,"{""name"":""polygon"",""all_points_x"":[467.92,474.41,478.82,478.14,477.46,477.13,480.52,484.25,481.87,480.86,482.55,482.55,484.25,478.14,478.14,477.13,476.45,476.45,476.45,474.41,473.39,466.95,464.57,464.23,465.59,466.95,462.2,461.86,461.86,460.16,459.82,461.18,461.18,457.79,454.74,456.43,457.45,458.47,459.82,459.82,458.81,458.81,458.47,457.45,457.45,455.07,454.4,453.04,452.02,451,451,451,448.63,446.59,448.29,451,452.7,455.07,456.43,457.45,444.56,433.7,424.88,430.65,443.54,458.47,460.16,458.81,458.47,458.81,456.43,456.09,454.4,455.07,456.77,457.79,459.15,461.52,464.57,467.63,470,471.7],""all_points_y"":[101.61,102.18,106.25,110.66,114.39,117.44,124.91,131.35,140.17,144.24,154.76,163.24,171.38,172.74,166.29,158.49,152.05,149.67,147.98,148.65,152.72,161.54,163.24,165.28,173.42,175.79,176.13,173.08,171.04,170.03,173.42,175.45,177.49,177.83,176.13,168.67,164.6,160.87,159.17,157.81,154.42,151.71,149.67,151.03,154.76,158.49,161.88,165.62,168.67,170.03,173.42,174.44,174.78,170.7,162.22,153.06,146.96,137.8,132.37,129.66,133.39,136.1,134.74,131.69,128.64,124.91,122.19,114.73,109.98,108.28,109.98,112.69,110.32,107.61,105.23,103.53,102.86,101.5,101.5,101.5,101.5,101.5]}","{""category"":""dog""}"
000000265433.jpg,114513,"{""width"":640,""height"":427}",1,0,"{""name"":""polygon"",""all_points_x"":[425.97,433.33,446.05,451.41,453.41,454.08,450.07,440.7,424.63,397.85,380.45,372.41,358.36,349.65,334.26,326.22,300.79,278.7,261.29,241.21,230.5,219.79,199.7,187.65,180.96,180.96,187.65,194.35,199.7,199.7,206.4,211.75,222.52,224.24,231.97,240.56,244,239.7,214.79,178.7,135.75,113.41,79.9,53.27,48.97,65.3,92.79,113.41,136.61,162.38,190.73,216.51,219.94,187.3,158.08,150.35,139.18,130.59,138.32,144.34,155.51,164.96,175.27,178.7,182.14,195.89,215.65,230.25,249.15,254.31,260.32,271.49,263.76,262.9,271.49,292.97,311.01,317.03,345.38,354.83,365.14,386.62,405.52,401.23,405.52,405.52,396.93,393.49,443.32,438.17,445.04,441.61,453.63,451.92,443.32,444.18,456.21,470.82,474.25,466.52,458.79,444.18,431.3,428.72],""all_points_y"":[101,89.62,69.54,57.49,40.08,25.35,23.35,24.68,41.42,62.84,73.55,69.54,70.87,70.87,65.52,62.84,68.2,76.23,69.54,55.48,44.1,34.73,24.01,26.69,30.04,36.06,41.42,49.45,53.47,62.84,72.88,84.26,96.8,110.54,122.57,134.6,137.18,142.33,137.18,129.45,119.14,120,126.87,140.62,148.35,155.22,156.08,165.53,168.97,172.4,171.54,172.4,180.14,208.49,225.67,242.85,249.73,266.91,276.36,277.22,282.38,275.5,269.49,265.19,246.29,229.11,213.64,207.63,201.62,194.74,216.22,242.85,268.63,280.66,287.53,286.67,283.23,286.67,299.56,299.56,293.54,313.31,338.22,357.98,371.73,394.07,412.11,425.28,426.14,412.39,391.77,369.44,353.11,334.21,305,276.65,249.15,219.08,194.17,161.52,139.18,116.85,103.96,99.66]}","{""category"":""dog""}"
000000139917.jpg,136385,"{""width"":640,""height"":479}",1,0,"{""name"":""polygon"",""all_points_x"":[317.72,318.69,320.62,321.59,333.18,339.94,356.35,363.11,366.01,403.67,409.47,424.92,431.68,434.58,450.99,451.96,459.69,469.34,476.1,494.45,503.14,485.76,479.97,471.27,459.69,453.89,451.96,450.03,450.03,448.1,447.13,425.89,413.33,401.74,400.78,394.98,390.15,386.29,372.77,362.15,355.39,321.59,320.62,320.62,320.62,320.62,318.69,318.69,317.72,316.76,316.76,319.66,319.66],""all_points_y"":[444.23,438.44,435.54,431.68,423.95,423.95,416.23,415.26,413.33,414.3,417.19,416.23,421.06,422.02,431.68,432.65,431.68,443.27,446.17,448.1,450.03,459.69,458.72,456.79,455.82,462.58,462.58,465.48,467.41,469.34,471.27,472.24,472.05,473.98,473.98,473.98,473.98,474.94,479,477.84,476.88,473.01,471.08,469.15,467.22,464.32,457.56,456.6,452.73,451.77,445.97,443.07,441.14]}","{""category"":""dog""}"
000000325587.jpg,174385,"{""width"":480,""height"":640}",1,0,"{""name"":""polygon"",""all_points_x"":[131.92,145.59,156.71,165.25,164.5,166.76,169.57,162,156.88,148.33,146.62,144.06,144.06,132.09,132.94,132.94,137.22,132.94,126.11,126.11,126.11,110.72,117.56,117.56,118.41,114.14,108.16,108.16,114.99,123.54],""all_points_y"":[370.86,361.45,361.45,379.4,402.05,415.58,420.1,425.56,399.06,405.05,423.85,445.22,449.49,453.77,444.36,433.25,424.71,417.87,431.54,431.54,450.35,452.91,437.53,437.53,416.16,403.34,396.5,383.68,372.57,370]}","{""category"":""dog""}"
000000444207.jpg,118663,"{""width"":600,""height"":363}",2,0,"{""name"":""polygon"",""all_points_x"":[463.47,481.8,484,477.4,468.6,471.53,499.4,505.27,515.53,517.73,532.4,538.27,529.47,533.13,533.87,526.53,522.87,514.07,507.47,501.6,491.33,476.67,456.87,451.73,436.33,433.4,428.27,434.13,448.07,454.67,460.53,463.47,463.47],""all_points_y"":[319,316.8,311.67,311.67,311.67,310.2,301.4,303.6,299.2,295.53,295.53,294.07,289.67,288.2,282.33,278.67,270.6,269.13,266.93,269.13,264.73,270.6,275,280.13,284.53,299.93,307.27,313.87,316.8,316.8,315.33,316.8,316.8]}","{""category"":""dog""}"
000000444207.jpg,118663,"{""width"":600,""height"":363}",2,1,"{""name"":""polygon"",""all_points_x"":[97.17,109.86,111.51,110.19,112.17,113.81,113.65,111.18,110.52,111.67,111.84,109.86,106.56,105.91,105.91,105.91,104.61,103.21,103.21,99.61,98.71,99.01,98.01,97.31,95.91,95.61,96.41,93.21,93.71,93.71,92.61,90.9,90.5,89.8,86,85.8,88.8,92.21,93.41,94.31,94.31],""all_points_y"":[148.01,147.68,148.67,148.84,151.8,152.63,156.91,157.74,156.25,156.25,154.27,152.79,152.13,152.59,154.99,156.19,155.99,152.69,152.69,153.09,154.19,156.25,156.39,153.69,154.19,156.49,158.2,157.9,156.19,154.79,152.99,151.89,148.79,146.09,145.69,144.99,142.79,142.39,142.49,144.29,145.49]}","{""category"":""dog""}"
000000293705.jpg,180558,"{""width"":640,""height"":493}",1,0,"{""name"":""polygon"",""all_points_x"":[461,464.57,467.11,473.23,480.88,488.02,499.24,505.36,511.48,515.05,523.72,530.85,538.5,543.09,548.19,556.86,559.41,563.49,567.57,569.61,565.02,560.94,559.41,557.88,559.92,554.31,546.66,542.07,538.5,532.89,525.25,521.68,514.54,507.4,504.34,508.93,513.52,506.38,497.2,493.12,489.04,484.96,479.35,473.74,465.07,461.51,459.98,458.96,458.96,458.96,460.49,463.04],""all_points_y"":[362.57,354.92,349.82,346.25,345.23,344.21,341.66,340.13,338.6,337.58,336.56,334.52,334.01,335.03,335.54,338.09,339.62,347.78,352.37,355.43,357.98,359.51,359.51,359.51,361.55,362.57,371.23,372.76,373.78,371.74,370.72,374.8,377.35,380.41,381.43,383.47,387.04,389.59,389.59,389.08,387.04,385.51,387.04,388.57,388.06,385,383.98,381.43,377.86,373.27,364.61,363.08]}","{""category"":""dog""}"
000000349642.jpg,62905,"{""width"":500,""height"":337}",1,0,"{""name"":""polygon"",""all_points_x"":[97.36,117.1,118.46,130.03,144.33,149.1,159.31,164.07,172.93,183.82,191.99,204.92,204.92,192.67,179.05,172.24,157.27,152.5,145.01,140.93,135.48,126.63,122.55,112.33,104.84,102.12,99.4,96.67,97.36,98.04,94.63,93.27,95.99,98.04],""all_points_y"":[285.94,289.34,277.77,282.54,277.77,270.96,264.15,259.39,260.07,258.03,258.03,251.9,251.9,246.45,241.69,238.96,223.31,215.82,212.41,206.28,202.2,199.48,199.48,202.88,210.37,215.14,221.94,226.71,247.81,258.03,263.47,270.96,276.41,285.26]}","{""category"":""dog""}"
